"","Incident.Date","State","City.Or.County","Address","X..Killed","X..Injured","Operations","date","week","location","long","lat"
"212","April 20, 2014","Florida","Tampa","2902 N. 32nd St.",2,2,"N/A",2014-04-20,16,"Tampa ,   Florida",-82.4571776,27.950575
"213","April 20, 2014","Illinois","Chicago","6600 South Michigan Ave",0,5,"N/A",2014-04-20,16,"Chicago ,   Illinois",-87.6297982,41.8781136
"214","April 14, 2014","District of Columbia","Washington","1500 block of 19th Street",0,4,"N/A",2014-04-14,15,"Washington ,   District of Columbia",-77.0368707,38.9071923
"215","April 12, 2014","Louisiana","New Orleans","2100 block of Pauger Street",1,3,"N/A",2014-04-12,15,"New Orleans ,   Louisiana",-90.0715323,29.9510658
"216","April 11, 2014","Indiana","Richmond","North 15th and H Streets",0,4,"N/A",2014-04-11,15,"Richmond ,   Indiana",-84.8902382,39.8289369
"217","April 9, 2014","Tennessee","Lookout Valley","Kellys Ferry Road and Kellys Ferry Place",3,1,"N/A",2014-04-09,15,"Lookout Valley ,   Tennessee",-85.356923,35.0445308
"218","April 9, 2014","Illinois","Rockford","300 North Sunset",0,4,"N/A",2014-04-09,15,"Rockford ,   Illinois",-89.0939952,42.2711311
"219","April 7, 2014","Louisiana","New Orleans","500 block of South Alexander Street",0,4,"N/A",2014-04-07,14,"New Orleans ,   Louisiana",-90.0715323,29.9510658
"220","April 6, 2014","Massachusetts","Springfield","90 Worthington St.",0,4,"N/A",2014-04-06,14,"Springfield ,   Massachusetts",-72.589811,42.1014831
"221","April 6, 2014","Oklahoma","Oklahoma City","Northwest 29th Street and Portland Avenue",0,4,"N/A",2014-04-06,14,"Oklahoma City ,   Oklahoma",-97.5164276,35.4675602
"222","April 5, 2014","Illinois","Chicago","4300 W Wilcox Street",1,5,"N/A",2014-04-05,14,"Chicago ,   Illinois",-87.6297982,41.8781136
"223","April 5, 2014","Arizona","Phoenix","West Palm Lane near 54th Avenue",1,3,"N/A",2014-04-05,14,"Phoenix ,   Arizona",-112.0740373,33.4483771
"224","April 5, 2014","California","Fairfield","Orchid Street ",0,4,"N/A",2014-04-05,14,"Fairfield ,   California",-122.0399663,38.2493581
"225","April 2, 2014","Texas","Fort Hood","Motor Pool Road and Tank Destroyer Boulevard",4,16,"N/A",2014-04-02,14,"Fort Hood ,   Texas",-97.7413143,31.1950013
"226","March 30, 2014","North Carolina","Charlotte","4300 Sunset Road",0,5,"N/A",2014-03-30,13,"Charlotte ,   North Carolina",-80.8431267,35.2270869
"227","March 30, 2014","Mississippi","Starkville","N/A",0,5,"N/A",2014-03-30,13,"Starkville ,   Mississippi",-88.8183872,33.4503998
"228","March 23, 2014","Texas","Arlington","2700 Majesty Drive",1,3,"N/A",2014-03-23,12,"Arlington ,   Texas",-97.1080656,32.735687
"229","March 23, 2014","California","San Francisco","Turk and Taylor",0,7,"N/A",2014-03-23,12,"San Francisco ,   California",-122.4194155,37.7749295
"230","March 23, 2014","California","Long Beach","601 Long Beach Boulevard",1,3,"N/A",2014-03-23,12,"Long Beach ,   California",-118.1937395,33.7700504
"231","March 21, 2014","South Carolina","North Charleston","7550 Dorchester Road",0,4,"N/A",2014-03-21,12,"North Charleston ,   South Carolina",-79.9748103,32.8546197
"232","March 16, 2014","Texas","Beaumont","Fourth Street",3,1,"N/A",2014-03-16,11,"Beaumont ,   Texas",-94.1265562,30.080174
"233","March 16, 2014","Georgia","Waynesboro","4960 Highway 80 West ",0,4,"N/A",2014-03-16,11,"Waynesboro ,   Georgia",-82.0156736,33.0898731
"234","March 14, 2014","New York","Brooklyn","S. Second and Roebling Sts",0,4,"N/A",2014-03-14,11,"Brooklyn ,   New York",-73.9441579,40.6781784
"235","March 9, 2014","Ohio","Fremont","531 W State St",3,1,"N/A",2014-03-09,10,"Fremont ,   Ohio",-83.1218634,41.3503303
"236","March 9, 2014","Texas","Austin"," 4900 block of West Race Avenue",0,6,"N/A",2014-03-09,10,"Austin ,   Texas",-97.7430608,30.267153
"237","March 8, 2014","California","Richmond","1600 block of First Street",1,3,"N/A",2014-03-08,10,"Richmond ,   California",-122.3477486,37.9357576
"238","March 8, 2014","Illinois","Chicago","4900 West Race Ave",0,6,"N/A",2014-03-08,10,"Chicago ,   Illinois",-87.6297982,41.8781136
"239","March 5, 2014","South Carolina","Pelzer","Law Street",3,2,"N/A",2014-03-05,10,"Pelzer ,   South Carolina",-82.4559598,34.6423372
"240","March 1, 2014","Pennsylvania","Pittsburgh","Hamilton Avenue",1,4,"N/A",2014-03-01,9,"Pittsburgh ,   Pennsylvania",-79.9958864,40.4406248
"241","March 1, 2014","Michigan","Detroit","7800 Gratiot Av.",0,4,"N/A",2014-03-01,9,"Detroit ,   Michigan",-83.0457538,42.331427
"242","February 25, 2014","Virginia","Glade Spring","Graceland Lane",5,1,"N/A",2014-02-25,8,"Glade Spring ,   Virginia",-81.7712324,36.791225
"243","February 22, 2014","California","Wilmington","1200 block of W Papeete St",0,4,"N/A",2014-02-22,8,"Wilmington ,   California",-118.2643567,33.7857948
"244","February 20, 2014","Indiana","Indianapolis","3400 block of South Parker",4,0,"N/A",2014-02-20,8,"Indianapolis ,   Indiana",-86.158068,39.768403
"245","February 20, 2014","California","Alturas","300 W 1st St",4,1,"N/A",2014-02-20,8,"Alturas ,   California",-120.5424555,41.4871146
"246","February 16, 2014","Texas","Dallas","2600 block of South Harwood Street",1,7,"N/A",2014-02-16,7,"Dallas ,   Texas",-96.7969879,32.7766642
"247","February 16, 2014","Indiana","Fort Wayne","Lafayette Street and East Tillman Road",0,5,"N/A",2014-02-16,7,"Fort Wayne ,   Indiana",-85.1393513,41.079273
"248","February 16, 2014","Texas","Fort Worth"," 115 NW 25th St.",1,4,"N/A",2014-02-16,7,"Fort Worth ,   Texas",-97.3307658,32.7554883
"249","February 16, 2014","Florida","Orange County","4500 block of Riviera Shores ",1,6,"N/A",2014-02-16,7,"Orange County ,   Florida",-81.2518833,28.4844995
"250","February 16, 2014","Florida","Jacksonville","1187 S. Edgewood Ave.",1,4,"N/A",2014-02-16,7,"Jacksonville ,   Florida",-81.655651,30.3321838
"251","February 15, 2014","Nevada","Las Vegas","Sahara and Maryland ",0,5,"N/A",2014-02-15,7,"Las Vegas ,   Nevada",-115.1398296,36.1699412
"252","February 12, 2014","Indiana","Gary","2220 block of South Broadway Av",0,5,"N/A",2014-02-12,7,"Gary ,   Indiana",-87.3464271,41.5933696
"253","February 12, 2014","California","Stockton","Constitution Park",1,3,"N/A",2014-02-12,7,"Stockton ,   California",-121.2907796,37.9577016
"254","February 12, 2014","California","Oakland","37th and International ",1,3,"N/A",2014-02-12,7,"Oakland ,   California",-122.2711137,37.8043637
"255","February 7, 2014","Florida","Miami","Northwest 41st Street and 9th Avenue ",0,5,"N/A",2014-02-07,6,"Miami ,   Florida",-80.1917902,25.7616798
"256","February 6, 2014","Louisiana","New Orleans","4600 block of Downman Road",0,4,"N/A",2014-02-06,6,"New Orleans ,   Louisiana",-90.0715323,29.9510658
"257","February 5, 2014","Illinois","Chicago","6740 N. Clark St",1,3,"N/A",2014-02-05,6,"Chicago ,   Illinois",-87.6297982,41.8781136
"258","February 3, 2014","Indiana","Franklin","2100 block of Bridlewood Dr",3,2,"N/A",2014-02-03,5,"Franklin ,   Indiana",-86.0549863,39.4806055
"259","January 27, 2014","Washington","Seattle","2nd Avenue South and South Main Street",1,4,"N/A",2014-01-27,4,"Seattle ,   Washington",-122.3320708,47.6062095
"260","January 27, 2014","North Carolina","Rocky Mount","Edwards Street ",0,4,"N/A",2014-01-27,4,"Rocky Mount ,   North Carolina",-77.7905339,35.9382103
"261","January 25, 2014","Florida","Belle Glade","600 block of Covenant Drive",0,4,"N/A",2014-01-25,4,"Belle Glade ,   Florida",-80.6675577,26.6845104
"262","January 25, 2014","Illinois","Chicago","S. Union Av and W. 51st St",1,4,"N/A",2014-01-25,4,"Chicago ,   Illinois",-87.6297982,41.8781136
"263","January 21, 2014","New Jersey","Newark","Springfield Avenue ",2,3,"N/A",2014-01-21,3,"Newark ,   New Jersey",-74.1723667,40.735657
"264","January 20, 2014","Virginia","Manassas","8509 Rixlew Ln",0,4,"N/A",2014-01-20,3,"Manassas ,   Virginia",-77.4752667,38.7509488
"265","January 16, 2014","Utah","Spanish Fork","37 N. 630 West",5,0,"N/A",2014-01-16,3,"Spanish Fork ,   Utah",-111.654923,40.114955
"266","January 16, 2014","Oklahoma","Ardmore","N/A",2,4,"N/A",2014-01-16,3,"Ardmore ,   Oklahoma",-97.1436254,34.1742611
"267","January 14, 2014","California","Los Angeles","West 86th Street",0,4,"N/A",2014-01-14,2,"Los Angeles ,   California",-118.2436849,34.0522342
"268","January 13, 2014","Michigan","Detroit","800 block of Calvert St",0,4,"N/A",2014-01-13,2,"Detroit ,   Michigan",-83.0457538,42.331427
"269","January 12, 2014","Louisiana","Tallulah","N/A",0,6,"N/A",2014-01-12,2,"Tallulah ,   Louisiana",-91.1867771,32.4084765
"270","January 12, 2014","Alabama","Huntsville","University Drive",0,5,"N/A",2014-01-12,2,"Huntsville ,   Alabama",-86.5861037,34.7303688
"271","January 12, 2014","Illinois","Elgin","300 block of North Street",0,5,"N/A",2014-01-12,2,"Elgin ,   Illinois",-88.2825668,42.0354084
"272","January 11, 2014","Louisiana","Tallulah","3600 block of Highway 80 W",0,6,"N/A",2014-01-11,2,"Tallulah ,   Louisiana",-91.1867771,32.4084765
"273","January 11, 2014","Oregon","Portland","Southeast Stark and 99th ",0,5,"N/A",2014-01-11,2,"Portland ,   Oregon",-122.6764815,45.5230622
"274","January 3, 2014","New York","Queens","Farmers Boulevard and 133rd Avenue",1,3,"N/A",2014-01-03,1,"Queens ,   New York",-73.7948516,40.7282239
"275","January 1, 2014","Virginia","Norfolk","Rockingham Street and Berkley Avenue Extended",2,2,"N/A",2014-01-01,1,"Norfolk ,   Virginia",-76.2858726,36.8507689
